,Job Title,Salary Estimate,Rating,Company Name,Location,Industry,Sector,Job Description
154,MACHINE LEARNING ENGINEER,-1,2.7,Dollar General,"Goodlettsville, TN","Industry
Other Retail Stores",Retail & Wholesale,"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
GENERAL SUMMARY:
We are looking for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities. ML Engineer helps increase the speed of delivery, improve the quality of code, and streamline processes in support of productionalizing models. The ML Engineer is responsible for identifying a production method to establish model code automation to be deployed to production systems and are operational with low latency. He or she is responsible for infrastructure implementation tools such as code and support services in multiple clouds, along with metrics and access to information

DUTIES and RESPONSIBILITIES:
Developers to assess existing problems and reach process improvement solutions in the ML pipeline
Identify bottlenecks in the coding development and implementation process including packaging of code to reduce DS engineering time
Participate in planning delivery time, code quality, and process efficiency improvement in output
Execute the plan by creating coding standards and automating processes for the organization
Perform daily tasks such as setting up development and production environments, monitoring reporting metrics and incidents
Develop and maintain knowledge of platform configuration management and troubleshooting
Actively involved in deploying application devices in appropriate environments through supported technologies and infrastructure
Coordinate with Data Scientists, Data Engineers, and technical members of the organization to understand their main challenges in the process of coding and development specific to ML pipelines
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
Qualifications:
KNOWLEDGE and SKILLS:
Excellent coding and scripting skills (Bash, Shell) and experience implementing large-scale cloud architectures using modern cloud-based container platforms (PaaS/SaaS)
Knowledge in the deployment of ML Pipelines using Azure ML, Data Bricks (MLFlow)
Test, build, and deploy ML models in Production akin to DEV Ops but specifically
for ML code through infrastructure including Databricks
Knowledge of cloud infrastructure (Azure) and management tools for IT components, storage, networking, caching, etc.
Experience with containerization, Docker, Kubernetes
Continuous integration experience and related tools such as Jenkins, Hudson, Maven, Ant, Git, Sonar, etc.
Strong understanding of Agile methodologies
Experience as an MLOps Engineer or SRE is preferred in an agile cross-functional team
Strong understanding of Agile methodologies
Experience as an MLOps Engineer or SRE is preferred in an agile cross-functional team
EXPERIENCE and/or EDUCATION:
Bachelor’s degree in computer science, data science, mathematics, or a related field
Master’s degree in computational linguistics, data analytics, or similar will be advantageous
At least four years of experience as a machine learning engineer

Dollar General Corporation is an equal opportunity employer.
_:
#mogul#"
155,Jr. Statistical Analyst,-1,-1,DrFirst Inc.,United States,-1,-1,"About DrFirst:
Here is a remarkable chance for you to join a thriving Healthcare IT company with established products, prestigious clients, substantial revenue, blue-chip institutional investors, and continuous growth. At DrFirst, you will collaborate with brilliant minds, tackling unique healthcare challenges on an unprecedented scale. Our culture is entrepreneurial, collaborative, and fast-paced—ideal for those who seek personal and professional growth while working alongside intelligent colleagues. If you're enthusiastic about pushing your limits, unlocking your potential, and thriving in a dynamic team, we're eager to connect with you!
Position Overview:
Who will love this job?
A Creative problem-solver with proven abilities to solve challenges using both traditional and non-traditional methods.
An Analytical thinker who views business problems at a high level and critically evaluates them to develop the best possible solutions.
A Scrupulous builder who pays attention to the smallest of details takes pride in cleanliness and appreciates the power of data visualization.
A Self-starter that exhibits an entrepreneurial, can-do, team-oriented demeanor. Well-organized and able to work effectively on multiple projects and project types, promptly, with limited management oversight.
A Curious mind that strongly believes in continuous education and relentlessly pursues knowledge and excellence both in subjects of professional and personal interest.
What you will work on:
Machine learning modeling
AWS for Analytics
Personalization
Experimentation
Qualifications:
Bachelors in statistics, math, computer science, Statistics, Economics, or a quantitative field (Preferred)
Some experience in applied statistics and experimental design
Some experience working with Python (particularly with the `pandas` library)
Some experience working with SQL.
Experience working with structured and unstructured data structures coming from different data sources
Excellent communication skills, the ability to work with a variety of business stakeholders, and experience presenting data and insights to senior leadership
Preferably a background in Healthcare IT, preferably experience working on Rx data and patient adherence programs.
Working experience with Tableau or other relevant data visualization software (Power BI, etc.).
Physical Requirements:
90% desk and phone work.
10% travel across DrFirst and customer locations in the US.
Benefits:
We offer comprehensive benefits to keep you healthy as you grow in your life and career. Your merit-based compensation will reflect the impact your work has on the company and our customers.

Learn more about our benefits and professional development opportunities here."
156,Junior UI Engineer,"$131,000",3.9,Illumio,"Sunnyvale, CA","Industry
Enterprise Software & Network Solutions",Information Technology,"On-site work model with 5 days in office/week in Sunnyvale, CA
Targeted hire date of February 1, 2024
About the Team:
Illumio's new Machine Learning (ML) team embodies a culture of thought leadership, independence, and responsibility, holding a significant and highly visible role within our Engineering division. This dynamic team is tasked with developing state-of-the-art ML solutions for complex cybersecurity challenges. Working directly with the leadership team, the team shapes Illumio's strategic direction and reinforces our leadership in Zero Trust Segmentation. In a world facing some of the greatest cybersecurity threats in history, the impact of our ML team is profound and far-reaching.
We're looking for engineers who are ready to bring diverse perspectives, innovate relentlessly, and tackle challenging enterprise security issues head-on, leaving a significant mark in the cybersecurity landscape.
About the Role:
As a Frontend Engineer, you will be instrumental in shaping the UI of a pioneering product focused on solving cybersecurity issues faced by diverse businesses today. Your contributions will encompass building interactive UI for displaying powerful machine learning results and creating a robust cybersecurity product. To excel in this role, you must possess knowledge of implementing UI interactions to create seamless user experiences and render machine learning results.
Key Responsibilities:
Collaborate with UX/UI teams to implement designs using React.
Develop and maintain our machine learning application's user interfaces.
Integrate RESTful APIs and WebSockets for seamless data presentation.
Ensure UI/UX feasibility and optimize for performance across pages
Regularly test, debug, and refine the React-based application and maintain code quality.
Experience:
Experience of building UIs with a modern framework. React.js development is preferred.
Familiarity with RESTful services, API integration, and asynchronous operations
About Illumio:
Illumio, the pioneer and market leader of Zero Trust segmentation, prevents breaches from becoming cyber disasters. Illumio protects critical applications and valuable digital assets with proven segmentation technology purpose-built for the Zero Trust security model. Illumio ransomware mitigation and segmentation solutions see risk, isolate attacks, and secure data across cloud-native apps, hybrid and multi-clouds, data centers, and endpoints, enabling the world's leading organizations to strengthen their cyber resiliency and reduce risk.
Illumio believes that an environment of unique backgrounds, experiences, viewpoints, and individual contributions drives our success and makes us stronger together. We are dedicated to creating and maintaining a diverse culture and emphasizing inclusion and belonging.
Pay Range:
$122,000 USD - $140,000 USD
The pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, location, experience, knowledge, skills, abilities, as well as internal equity, alignment with market data, or applicable laws.
Benefits:
At Illumio we offer a wide range of benefits to our eligible team members. Our benefit programs vary by location and can include Medical, Dental, Vision Coverage – Health and Dependent Savings Accounts – Life and Disability Programs – Paid Parental Leave – Voluntary Benefit Programs – Company Sponsored Wellness Program – Wellness Reimbursement Program - Retirement Savings – Equity Opportunities – Paid time off and Paid Holidays – Employee Incentive Program.#LI-KD1 #LI-ONSITE"
157,Machine Learning Engineer,-1,4.1,Action Behavior Centers,"Austin, TX","Industry
Health Care Services & Hospitals",Healthcare,"Machine Learning Engineer
Overview
We are looking for a talented Machine Learning Engineer who is versatile and creative, and who can be an integral part of a small tight team in a fast-paced environment that will build and support next-generation analytics solutions and predictive models that support Action Behavior Centers. This role not only requires the ability to develop advanced analytics models but can also partner with key business stakeholders to drive business decisions.

Job Responsibilities
Collaboratively build and execute a vision for incorporating new advances in machine learning in ways that best achieve the business objectives
Write, test, deploy and maintain machine learning code across the full software development lifecycle
Own the technical architecture to enable training, evaluation, fine-tuning and launch models that identify optimal actions and predictions
Create and enhance data sets, workflows and processes to ensure data quality for optimal performance and accuracy
Debug production issues and ensure high technical quality
Required Skills
3+ years of experience in a computer science or technology related field such as engineering (especially in machine learning systems)
Have experience with building machine learning models, including neural networks, decision trees, regression algorithms, binary classification algorithms, etc.
Proficient knowledge of SQL and Python
Proficiency in one or more of R, Java, C++, Scala
Understanding of machine learning frameworks and tools (e.g. Pandas, numpy, scikit-learn, TensorFlow, Pytorch, Keras, Huggingface)
Experience with cloud platforms (e.g. AWS, GCP, Azure, Databricks, Snowflake, etc) and associated machine learning products
Understanding of implementing statistical and machine learning models, deploying these and maintaining them in production environments
Understanding of MLOps (scalable development to deployment of complex data science workflows) and associated tools, e.g. MLflow, Kubeflow
Strong understanding of fundamental computer science concepts, particularly data structures, algorithms, automated testing, object-oriented programming, performance complexity, and implications of computer architecture on software performance

Qualifications
Bachelor’s or advanced degree in Computer Science, Information Systems or related field
Solid business acumen, with broad understanding of business terminology and processes
Strong Business and Technical documentation skills
Strong and concise communication skills, both written and verbal, including the ability to explain and discuss technicalities of ML algorithms and techniques with colleagues and clients from other disciplines
Excellent problem-solving, analytical and team-working skills
Detail oriented in all aspects of their work
Ability to work independently with minimal supervision
Ability to work in a fast-paced environment with changing priorities
Knowledge of Salesforce (from a usability and back end data structure perspective) is a big plus.
Experience working in a healthcare-related organization is a plus
Must be authorized to work in the United States on a full-time basis for any employer
Additional Rewards
Generous PTO + Holiday Time Off
Health insurance coverage + Health Savings Accounts for tax-free benefits on childcare + medical expenses
401k Retirement Plans with company matching
Full benefits covered up to 90%
Student Loan Repayment w. Employer Contributions
Continuous training and growth opportunities
Tuition Discounts at our ABC University Partners
© Copyright 2023"
158,Google Workspace Administrator,-1,-1,"Ameriinfovets, Inc.",Remote,-1,-1,"SUMMARY
DIGIT is seeking a Google Workspace Administrator to support GSA’s collaboration platform with a focus on Google Workspace based technologies and interfaces.
As a leading provider of advanced information technology solutions and professional services to U.S. federal government agencies, is the prime for a $807m task order in support of the General Services Administration (GSA) Office of Digital Infrastructure Technologies (IDT) DIGIT (Digital Innovation for GSA Infrastructure Technologies) task order driving digital transformation and delivering continuous improvement and business value to its customers. The team is comprised of the best-in-class technology partners to leverage forward-leaning technologies and best practices to transform GSA’s IT capabilities and shift offerings to provide a more flexible service delivery model, completing the agency’s shift to a fully digital experience along with its adoption of advanced, emerging technologies such as intelligent automation, artificial intelligence, and machine learning.
RESPONSIBILITIES
This position shall perform the following (to include but not limited to) activities:
Oversee Google Workspace management, including GMail, Calendar, Group, Shared Mailboxes, Google Sites, and associated policy and account management.
Manage and monitor sync tools and schedules to ensure proper logging, email alerts, and reports for all activities
Oversee eDiscovery / Litigation Holds- Provides work direction to lower-level analysts and programmers
Reviews workflow and limitations to determine if requested capability or modification is possible within existing configurations and systems
Studies information processing capabilities to evaluate effectiveness and develops new capabilities to improve production or workflow
Prepares workflow chart and diagrams to specify in detail operations to be performed by computers and operations to be performed by personnel working with computers
Plans and prepares technical reports and instructional manuals and assists in the documentation of applications development
Performs routine assignments that normally require conferring with end-users to analyze requirements, such as forms of data input, how data is to be manipulated and summarized, and how reports are to be formatted
Escalate issues to vendor and third-party entities, as necessary and directed by the Government.
CONTRACT REQUIRED QUALIFICATIONS
This following are REQUIRED for this position:
Professional Google Workspace Administrator Certification.
Advanced knowledge of enterprise email systems and SMTP servers and clients. Experience supporting and troubleshooting Google SMTP services, DMARC, encryption, routing, Anti-Spam/Virus, and delivery issues.
Public Trust Clearance and ITILv4 Foundation Certification by start date.
Possesses and applies expertise on multiple complex work assignments. Assignments may be broad in nature, requiring originality and innovation in determining how to accomplish tasks.
Operates with appreciable latitude in developing methodology and presenting solutions to problems.
May supervise lower level staff if required
Contributes to deliverables and performance metrics where applicable.
Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.
Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities.
Proven ability to work independently in a full and/or partial remote environment with limited supervision and may supervise/lead others.
Possess the ability to communicate in both oral and written forms, demonstrating an ability to communicate effectively with all levels of staff as well as clients.
Maintain standard working hours per the DIGIT contract and to be available for meetings, and other collaborative efforts during working hours.
Demonstrated ability to apply comprehensive knowledge across key tasks and high impact assignments with the ability to use practical experience and training to determine how to accomplish tasks.
CONTRACT DESIRED QUALIFICATIONS
The following are DESIRED for this position:
Possess basic networking concept knowledge including, but not limited to, DNS, network topologies, firewalls, and proxies
Possess an understanding of mail routing concepts (SPF, MX records, DKIM, DMARC)
Scripting experience working with the Google Workspace API and command-line tools
Experience using ServiceNow for ticket management and inventory management.
Proficiency in the Google Suite (Gmail, Calendar, Chat, Meet, Docs, Slides, Sheets), Microsoft Office (Word, Excel, PowerPoint, Outlook), Slack, and ServiceNow.
Must be willing to work a variety of shifts, including holidays as scheduled.
EDUCATION AND EXPERIENCE
The following are the education and experience required for this position:
4 - 9 years of experience and bachelor's degree
2+ years of experience administoring the google workspace.
Experience as a remote worker demonstrating time management and self discipline with cultural change management and Agile mindset."
159,Jr. Data Scientist,-1,-1,ClimateAI,Remote,-1,-1,"Culture
At ClimateAi we are driven by a united passion to tackle climate change. We believe in a culture of absolute truth and transparency, where feedback is considered an opportunity for us to contribute to each other's personal and professional growth. We recognize the value of diversity and are an equal-opportunity employer.
We hire people who are collaborative, adaptable, communicate well, and love to learn. Expect to give and receive constructive criticism, as we are constantly seeking to push the innovation frontier while simultaneously growing as individuals and as a team.
What you’ll do
Develop and implement advanced methodologies based on state-of-the-art data science techniques and climate variability and change science to prepare custom/tailored deliveries to support customers on key decisions.
Collaborate with our Data Engineering and Software Engineering teams to develop and implement strategies to improve the performance of our models and projections.
Collaborate with our Product and Engineering teams to improve the quality and usability of our products.
Collaborate with our Customer Success teams to deliver high quality and timely reports to our customers.
Generate regular climate deliveries for our customers.
Preferred Qualifications:
Bachelor’s degree in a quantitative field (engineering, applied math, physics)
Proficient in python (experience with pandas, numpy, sci-kit learn, and similar)
Background in data analysis and machine learning (NNs and decision-tree based regression and classification).
Critical thinking skills
Nice-to-have:
Experience with Git, or other version control tools.
Experience working in a cloud environment (i.e. GCP, AWS, etc).
Linux knowledge.
Experience working with large data sets.
What We Offer You

Competitive salary and equity

Medical, dental, vision benefits

Learning budget per year

Unlimited PTO policy with minimum time off requirements

Flexible working hours on many teams

Culture of diversity and inclusion including employee resource groups

Work with smart, curious, passionate people and be part of the mission to help the world"
160,Staff Machine Learning Engineer,-1,4.2,Mercedes-Benz R&D North America,"Sunnyvale, CA","Industry
Transportation Equipment Manufacturing",Manufacturing,"Embedded in a worldwide network Mercedes-Benz Research & Development North America continuously strives to remain at the forefront of successful automotive research and development. MBRDNA is headquartered in Silicon Valley, California, with key areas of Autonomous Driving, Advanced Interaction Design, Digital User Experience, Machine Learning, Customer Research, and Open Innovation. In Farmington Hills, Michigan, the focus is on Powertrain and eDrive technology as well as in Long Beach, where the teams test durability of the latest driver assistant and telematic systems. The Digital Hub in Seattle focusses on developing a cloud architecture and building out the cloud platform for the next generation of connected car services. The Testing and Regulatory Affairs Division in Ann Arbor and the Advanced Vehicle Design in Carlsbad complete the competence center.

The Mercedes-Benz Data and AI team is seeking a hands-on machine learning expert for research, design, and development of cutting-edge technology applied in projects that will shape the future of Mercedes-Benz vehicles with the goal of enhancing our customer’s experience.

In this role, you will be responsible for design, development, and presentation of novel machine learning techniques and applications, as well as guiding junior members to become experts. You will be working closely with the development team to support the product development as well as evaluation and proposal of algorithm adjustments to ameliorate undesired learning behavior, towards a progressive future in the automotive industry.
Job Responsibilities:
Lead research topics through multiple phases related to automotive machine learning solutions: experimentation and validation, proof of concept, tuning and constraint adjustment
Provide support and insight to development teams responsible for implementation of machine learning techniques in a native head unit environment
Present and demo research topics to Mercedes-Benz internal groups, and at external events such as academic conferences and tradeshows
Define, interface and manage relationships with other teams within MBRDNA and Mercedes-Benz organizations
Work closely with a proactive, highly motivated engineering team to bring next generation infotainment and telematics solutions to Mercedes-Benz products worldwide
Work in an Agile/Scrum environment to deliver high quality software with a measurable customer value
Minimum Qualifications:
Master’s, Computer Science, Electrical Engineering, Math, Statistics, or related fields
4-6 years of experience
Strong programming and software development skills (Python/C++)
Hands-on experience with implementation, analysis and updating machine learning and AI algorithms in real world products
Deep understanding of machine learning fundamentals. Ability to keep up with the bleeding edge of research in the field, understand its ramifications, and immediately apply it to the betterment of our products
Ability to quickly and effectively diagnose issues, evaluate fixes, and propose solutions for statistical data analysis and machine learning techniques (including Regression, Classification, Clustering, Time series, Deep learning)
Strong instincts for efficiency and optimization, with self-motivation to work with colleagues such that only high quality products reach customers' hands.
Extensive experience with ML frameworks such a PyTorch and Tensorflow
Excellent understanding of ML workflow: preparing the data, implementing and training ML models, evaluating results, deploying inference on different platforms
Ability to collaborate effectively and pro-actively in cross functional development teams
Experience leading research topics through a full research pipeline: from concept to proof and validation
Very strong interest and passion in machine learning, data science and related fields
Excellent communication, especially written, and organizational skills, with both technical and non-technical audiences
Excellent critical thinking, problem solving and analytical skills
Valid CA Driver’s License
Preferred Qualifications:
Experience in one or more of the following areas: Recommendation Systems, Bayesian inference and Gaussian processes, Time series, GNNs, Information retrieval and Data mining, Natural Language Processing
Distributed data processing in Hadoop, Spark, BigQuery, or Apache Beam
Distributed training
The successful candidate’s starting pay will be determined based on a wide range of factors, including, but not limited to, job-related education, skills, and experience, geographic location, and market conditions. The current salary range for this position is as follows and may be modified in the future: $152,300 - $194,100.

#LI-MS1

Why should you apply?
Here at MBRDNA, you create digital ecosystems around cars, you design a language between humans and machines, you make a car even more intelligent - you make the new reality for cars. We have an open and flexible environment to allow you to push boundaries, join MBRDNA and design your future.

Benefits for Full-Time* Employees Include:
Medical, dental, and vision insurance for employees and their families
401(k) with employer match
Up to 18 company-paid holidays
Paid time off (unlimited for salaried employees), sick time, and parental leave
Tuition assistance program
Wellness/Fitness reimbursement programs
Vehicle lease subsidy or company car (for eligible employees only)
Internships & Contractors excluded from Full-Time Employee benefits

MBRDNA is an equal opportunity employer (EOE) and strongly supports diversity in the workforce. MBRDNA only accepts resumes from approved agencies who have a valid Agency Agreement on file. Please do not forward resumes to our applicant tracking system, MBRDNA employees, or send to any MBRDNA location. MBRDNA is not responsible for any fees or claims related to receipt of unsolicited resumes.

Mercedes-Benz Research and Development North America, Inc.
PRIVACY NOTICE FOR CALIFORNIA RESIDENTS
https://mbrdna.com/california-employee-privacy-notice/"
161,Machine Learning Engineer (Remote Eligible),-1,4.1,Smartsheet,"Bellevue, WA","Industry
Software Development",Information Technology,"In 2005, Smartsheet was founded on the idea that teams and millions of people worldwide deserve a better way to deliver their very best work. Today, we deliver a leading cloud-based platform for work execution, empowering organizations to plan, capture, track, automate, and report on work at scale, resulting in more efficient processes and better business outcomes.
You will report to our Sr. Director, Data Science & BI located in our Bellevue, WA office, or you may work remotely from anywhere in the US where Smartsheet is a registered employer.
You Will:
Build and deploy Machine Learning (ML) models and data pipelines, from training to inference, in production using MLOps best practices.
Use pre-trained Generative AI models, deep learning models or traditional machine learning models to solve customer problems.
Monitor and maintain production ML models by identifying and correcting for model drift/staleness, incorporating user feedback loops, and retraining models as necessary.
Evaluate and recommend AI or ML solutions for the product using any combination of vendor solutions and/or custom built models.
Distill complex ML concepts into easy to follow technical documentation.
Partner effectively with software engineers and product managers to integrate the machine learning solution into the product.
You Have:
3+ years of experience with creating, deploying and scaling machine learning solutions in a cloud environment (eg. AWS, GCP, Azure) and ability to use tools such as SageMaker, Glue, Lambda, Docker etc. to create ML models and data pipelines.
3+ years of experience in developing deep learning (especially NLP models) and traditional ML models using common frameworks like pytorch, tensorflow, huggingface, scikit-learn etc.
4+ years of programming experience in languages used in AI/ML (eg python, scala etc)
Strong applied data science skills - ability to recognize data patterns, understand how and when to use various machine learning approaches (eg. supervised/unsupervised learning, deep learning etc.), and evaluate the performance of ML algorithms.
Proven ability to remain up-to-date with the latest advancements in Generative AI approaches (eg. OpenAI, LangChain, Stable Diffusion APIs).
Experience developing, documenting, and supporting REST APIs
A degree in Computer Science, Engineering, or a related field or equivalent practical experience.
Legally eligible to work in the U.S. on an ongoing basis
Perks & Benefits:
HSA, 100% employer-paid premiums, or buy-up medical/vision and dental coverage options for full-time employees
Equity - Restricted Stock Units (RSUs) for eligible roles
Lucrative Employee Stock Purchase Program (15% discount)
401k Match to help you save for your future (50% of your contribution up to the first 6% of your eligible pay)
Monthly stipend to support your work and productivity
Flexible Time Away Program, plus Incidental Sick Leave
US employees are automatically covered under Smartsheet-sponsored life insurance, short-term, and long-term disability plans
US employees receive 12 paid holidays per year
Up to 24 weeks of Parental Leave
Personal paid Volunteer Day to support our community
Opportunities for professional growth and development including access to LinkedIn Learning online courses
Company Funded Perks, including a counseling membership, local retail discounts, and your own personal Smartsheet account
Teleworking options from any registered location in the U.S. (role specific)

Smartsheet provides a competitive base salary range for roles that may be hired in different geographic areas we are licensed to operate our business from. Actual compensation is determined by several factors including, but not limited to, level of professional, educational experience, skills, and specific candidate location. In addition, this role will be eligible for a market competitive incentive opportunity and RSU stock grant upon accepted offer. California & New York: $124,200 to $178,200 | All other US States: $115,000 to $165,000.
Get to Know Us:
At Smartsheet, we've created a place where everyone is welcome — people from all over the world, all backgrounds, all ages, all colors, and all beliefs working side by side. Here, everyone can make a difference and empower others to do the same. You're encouraged to apply even if your experience doesn't precisely match our job description—if your career path has been nontraditional, that will set you apart. At Smartsheet, we empower everyone, everywhere to change the way the world works—join us
Equal Opportunity Employer:
Smartsheet is an Equal Opportunity Employer committed to fostering an inclusive environment with the best employees. We provide employment opportunities without regard to any legally protected status in accordance with applicable laws in the US, UK, Australia, Japan, Costa Rica, and Germany. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.
#BI-Remote
#LI-Remote"
162,Job Seeker,"$150,000",4.0,Recruiting From Scratch,"Mountain View, CA","Industry
Staffing & Subcontracting",Human Resources & Staffing,"If you are looking for a new role, feel free to apply and our team will reach out if we have an appropriate role at one of our client companies! We currently recruit backend engineers, full-stack engineers, infrastructure engineers, platform engineers, site reliability engineers, engineering managers, data engineers, machine learning engineers, principal software engineers, hardware engineers, FPGA engineers, systems engineers, hardware managers, product managers, senior product managers, group product managers, director of product management, and many more!
Companies we work or worked with include: Dapper Labs, Gemini, Bitgo, Alchemy, Afterpay, Iron Fish, Octave Health, Chapter, Newfront Insurance, Karat, Digit, Scale, and many more.
Follow us our all of our socials to keep up with jobs: Linktree
Benefits: PTO, Healthcare, and more!
Base Salary Range: $100,000 to $200,000+"
163,Machine Learning Ops - Remote,-1,-1,FirstEnergy Corp,United States,-1,-1,"FirstEnergy
FirstEnergy at a Glance
As one of the nation’s largest electric utility companies with a focus on sustainable energy, FirstEnergy knows that it takes a workforce of highly trained, dedicated, and motivated individuals to generate and deliver safe and reliable power. Our Information Technology (IT) professionals are at the heart of this workforce, playing a key role in helping our business units achieve business goals in the generation, transmission and distribution of electricity. As a result, FirstEnergy invests in the success of its people through continuous development opportunities to develop and refine skills support career advancement. FirstEnergy is proud to develop new experiences for both employees and customers and is committed to developing a diverse workforce, reflective of the communities we serve, by recruiting and retaining talented employees from a variety of backgrounds
FirstEnergy’s in-house, centralized IT organization creates and maintains software solutions, and operates FirstEnergy data centers, service desks and voice/data networks. As an IT Professional at FirstEnergy, you will be given a wide range of opportunities to collaborate with people across the company and will be exposed to an exciting and cutting-edge technology stack. You will also be exposed to Agile ways of working in an environment that embraces diversity of thought, where you will be encouraged to innovate and explore new ideas.
About the Opportunity
This is an open position with FirstEnergy Service Co., a subsidiary of FirstEnergy Corp. [SC00]
The ability to work remotely within the United States may be available based on business need. This option is not available in the states of California, Colorado, Illinois, Kentucky, Massachusetts, Montana, New York, Oregon or Washington at this time.
This position is responsible for supporting machine learning solutions built by the Advanced Analytics team while following best practices to drive business value. This position coordinates release management, monitors and supports machine learning models and supporting infrastructure deployed to production, develops solutions to address issues and enhancements, and supports the development of net-new models. The Advanced Analytics team primarily builds Azure ML models, supported by a hybrid of on-premise or cloud data pipelines. The individual should have a strong focus on collaboration and a deep passion for innovation.
Responsibilities Include:
Own the Advanced Analytics team’s IT change management activities and perform associated tasks including change ticket management, code migration, and deployment support.
Validates production readiness of deployments and works with developers to minimize deployment risk.
Monitor machine learning solutions with a focus on performance management, scheduling, and capacity management.
Develop and maintain dashboards for pipeline and model performance monitoring and report on key metrics.
Proactively communicate and address issues, changes, and concerns to business units when discovered through monitoring activities.
Serve as the primary resource to address and resolve issues in accordance with SLAs for incidents assigned to the Advanced Analytics team. This includes on-call support.
Perform administration tasks including security management and Anaconda license management.
Create and maintain solution documentation when solutions are changed during support activities.
Perform periodic SOx control reviews to adhere to IT compliance processes.
Qualifications include:
Bachelor’s degree in related discipline with a minimum of 4 years relevant experience required. In lieu of a degree, 6 years of relevant experience required.
Relevant work experience will include basic experience supporting, designing, and developing or configuring software solutions.
Experience with SQL and/or Python.
Experience developing or configuring dashboards or reports. Experience with PowerBI is preferred.
Experience supporting or developing machine learning solutions within the Azure platform is preferred.
Basic software development or configuration, testing, and troubleshooting skills.
Strong problem solving and analytical skills.
Experience working within Agile methodologies is preferred.
Ability to work independently and as part of a team.
Good communication and organizational skills.

Benefits, Compensation & Workforce Diversity

At FirstEnergy, employees are key to our success. We depend on their talents to meet the challenges of our changing business environment. We are committed to rewarding individual and team efforts through our total rewards philosophy which includes competitive pay plus incentive compensation, a company-sponsored pension plan, 401(k) savings plan with matching employer contribution, a choice of medical, prescription drug, dental, vision, and life insurance programs, as well as skills development training with tuition reimbursement. Please visit our website at www.firstenergycorp.com to learn more about all of our employee rewards programs. FirstEnergy proudly supports workforce diversity. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with a disability. No recruiters or agencies without a previously signed contract. Unable to sponsor or transfer H-1B visas at this time.

Safety

Safety is a core value for FirstEnergy and is essential to all of our business activities. We ensure employees have the tools, information, and processes to perform their duties in a manner that assures safety for themselves, their co-workers, our customers and the public. Our goals are to provide a safe work environment, to maintain an accident-free, injury-free workplace, and to promote and maintain public safety. To meet these goals, we dedicate ourselves to achieving world-class safety standards.

Position Classification

Exempt
FirstEnergy Human Resources Team"
